journal_id,journal_name,journal_name_short,issn,impact_factor,h_index,citescore,overall_score,cas_quartile,big_category,sub_category,sci_indexed,oa_status,acceptance_rate,review_cycle,views,fields,detail_url,article_url
65,Acta Biomaterialia,ACTA BIOMATER,1742-7061,9.6,155,17.8,9.3,1区,医学,工程：生物医学,SCI SCIE,No,较难,约2.8个月,509185,生命科学,https://letpub.com.cn/index.php?journalid=65&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=65&xuanxiangk_id=2#xuanxk_3
107,Acta Herpetologica,ACTA HERPETOL,1827-9635,0.9,12,1.5,4.8,4区,生物学,动物学,SCIE,Yes,容易,约6.0个月,26310,生命科学,https://letpub.com.cn/index.php?journalid=107&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=107&xuanxiangk_id=2#xuanxk_3
139,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1.5,64,3.2,5.2,4区,环境科学与生态学,生态学,SCI SCIE,No,约25%,>0周，或约稿,52204,生命科学,https://letpub.com.cn/index.php?journalid=139&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=139&xuanxiangk_id=2#xuanxk_3
159,ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,0.8,42,1.7,6.7,3区,物理与天体物理,物理：综合,SCI SCIE,No,88%,约2.1个月,228091,医药科学|影像医学与生物医学工程|信息科学,https://letpub.com.cn/index.php?journalid=159&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=159&xuanxiangk_id=2#xuanxk_3
161,ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,13.7,31,19.9,6.6,2区,化学,物理化学,SCIE,No,容易,约1.2个月,154021,信息科学,https://letpub.com.cn/index.php?journalid=161&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=161&xuanxiangk_id=2#xuanxk_3
163,ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,0137-5881,2.2,56,4.8,5.5,4区,生物学,植物科学,SCIE,No,约80%,约4.5个月,115464,生命科学,https://letpub.com.cn/index.php?journalid=163&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=163&xuanxiangk_id=2#xuanxk_3
165,ACTA PHYSIOLOGICA HUNGARICA,ACTA PHYSIOL HUNG,0231-424X,0.0,0,0.0,3.5,未录,,,无,No,容易,约6.0个月,25359,生命科学,https://letpub.com.cn/index.php?journalid=165&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=165&xuanxiangk_id=2#xuanxk_3
192,Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,1551-9899,0.6,19,2.4,4.9,4区,计算机科学,计算机：信息系统,SCIE,No,容易,约6.0个月,57565,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=192&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=192&xuanxiangk_id=2#xuanxk_3
193,Ad Hoc Networks,AD HOC NETW,1570-8705,4.8,79,9.7,7.8,3区,计算机科学,计算机：信息系统,SCIE,No,容易,约6.0个月,124744,信息科学,https://letpub.com.cn/index.php?journalid=193&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=193&xuanxiangk_id=2#xuanxk_3
197,ADDICTION,ADDICTION,0965-2140,5.3,174,11.4,7.9,2区,医学,药物滥用,SCI SCIE,No,约20%,约3.0个月,53242,医药科学|神经系统和精神疾病,https://letpub.com.cn/index.php?journalid=197&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=197&xuanxiangk_id=2#xuanxk_3
206,ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,9.9,68,13.1,8.7,1区,工程技术,计算机：人工智能,SCIE,No,较易,约4.5个月,564799,计算机科学|计算机应用技术|信息科学,https://letpub.com.cn/index.php?journalid=206&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=206&xuanxiangk_id=2#xuanxk_3
214,Advanced Science Letters,ADV SCI LETT,1936-6612,0.0,0,0.0,3.8,未录,,,无,No,约40%,约2.1个月,67148,生命科学|计算机科学|计算机应用技术|信息科学,https://letpub.com.cn/index.php?journalid=214&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=214&xuanxiangk_id=2#xuanxk_3
251,Advances in Experimental Medicine and Biology,ADV EXP MED BIOL,0065-2598,0.0,107,4.5,5.6,未录,,,无,No,,"较快,2-4周",93320,生命科学,https://letpub.com.cn/index.php?journalid=251&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=251&xuanxiangk_id=2#xuanxk_3
295,Aerospace Science and Technology,AEROSP SCI TECHNOL,1270-9638,5.8,64,10.3,8.2,1区,工程技术,工程：宇航,SCI SCIE,No,容易,约16.0个月,530208,信息科学,https://letpub.com.cn/index.php?journalid=295&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=295&xuanxiangk_id=2#xuanxk_3
297,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,1434-8411,3.2,48,6.7,7.3,3区,计算机科学,工程：电子与电气,SCIE,No,容易,约6.8个月,144943,信息科学,https://letpub.com.cn/index.php?journalid=297&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=297&xuanxiangk_id=2#xuanxk_3
302,African Journal of Agricultural Research,AFR J AGR RES,1991-637X,0.0,0,0.0,3.7,未录,,,无,No,约75%,约2.6个月,37418,生命科学,https://letpub.com.cn/index.php?journalid=302&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=302&xuanxiangk_id=2#xuanxk_3
304,AFRICAN JOURNAL OF BIOTECHNOLOGY,AFR J BIOTECHNOL,1684-5315,0.0,0,0.0,3.7,未录,,,无,No,约58.05%,约4.8个月,57114,生命科学|医药科学|生物信息学,https://letpub.com.cn/index.php?journalid=304&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=304&xuanxiangk_id=2#xuanxk_3
308,African Journal of Microbiology Research,AFR J MICROBIOL RES,1996-0808,0.0,0,0.0,3.7,未录,,,无,No,约74%,约2.2个月,39502,生命科学,https://letpub.com.cn/index.php?journalid=308&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=308&xuanxiangk_id=2#xuanxk_3
309,African Journal of Pharmacy and Pharmacology,AFR J PHARM PHARMACO,1996-0816,0.0,0,0.0,3.5,未录,,,无,No,约60%,约1.0个月,29096,医药科学,https://letpub.com.cn/index.php?journalid=309&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=309&xuanxiangk_id=2#xuanxk_3
321,AGING CLINICAL AND EXPERIMENTAL RESEARCH,AGING CLIN EXP RES,1594-0667,3.4,63,7.8,6.5,3区,医学,老年医学,SCIE,No,容易,约1.0个月,74376,医药科学,https://letpub.com.cn/index.php?journalid=321&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=321&xuanxiangk_id=2#xuanxk_3
329,AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,0168-1923,5.7,144,11.1,8.9,1区,农林科学,农艺学,SCI SCIE,No,约50%,约4.5个月,317916,生命科学,https://letpub.com.cn/index.php?journalid=329&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=329&xuanxiangk_id=2#xuanxk_3
333,Agricultural Sciences in China,AGR SCI CHINA,1671-2927,0.0,0,0.0,3.8,未录,,,无,No,容易,约3.3个月,39253,生命科学,https://letpub.com.cn/index.php?journalid=333&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=333&xuanxiangk_id=2#xuanxk_3
335,Agricultural Water Management,AGR WATER MANAGE,0378-3774,6.5,106,13.3,8.8,1区,农林科学,农艺学,SCI SCIE,No,约50%,约7.0个月,301154,生命科学,https://letpub.com.cn/index.php?journalid=335&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=335&xuanxiangk_id=2#xuanxk_3
341,AGROFORESTRY SYSTEMS,AGROFOREST SYST,0167-4366,2.2,68,4.4,6.5,3区,农林科学,农艺学,SCIE,No,容易,"偏慢,12-24周",42244,生命科学,https://letpub.com.cn/index.php?journalid=341&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=341&xuanxiangk_id=2#xuanxk_3
345,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,2.3,49,4.9,5.3,3区,工程技术,工程：综合,SCIE,No,容易,>12周，或约稿,60515,信息科学,https://letpub.com.cn/index.php?journalid=345&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=345&xuanxiangk_id=2#xuanxk_3
349,AIDS,AIDS,0269-9370,3.1,203,5.6,7.8,2区,医学,病毒学,SCI SCIE,No,约50%,平均1月,52218,生命科学,https://letpub.com.cn/index.php?journalid=349&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=349&xuanxiangk_id=2#xuanxk_3
8737,Alzheimers Research & Therapy,ALZHEIMERS RES THER,1758-9193,7.6,53,13.0,7.2,1区,,,,,,,,ISSN补录,https://letpub.com.cn/index.php?journalid=8737&page=journalapp&view=detail,
387,AMBIO,AMBIO,0044-7447,5.1,108,14.7,7.9,2区,环境科学与生态学,工程：环境,SCI SCIE,No,较易,约6.0个月,95211,生命科学,https://letpub.com.cn/index.php?journalid=387&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=387&xuanxiangk_id=2#xuanxk_3
23631,American Journal of Case Reports,,1941-5923,0.7,0,1.4,4.1,4区,,,,,,,,ISSN补录,https://letpub.com.cn/index.php?journalid=23631&page=journalapp&view=detail,
409,AMERICAN JOURNAL OF DENTISTRY,AM J DENT,0894-8275,1.2,71,1.9,5.0,4区,医学,牙科与口腔外科,SCI SCIE,No,容易,约1.0个月,41289,医药科学,https://letpub.com.cn/index.php?journalid=409&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=409&xuanxiangk_id=2#xuanxk_3
410,AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,0193-1091,1.0,68,1.6,5.2,4区,医学,皮肤病学,SCI SCIE,No,容易,"偏慢,4-8周",29216,医药科学,https://letpub.com.cn/index.php?journalid=410&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=410&xuanxiangk_id=2#xuanxk_3
416,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,0002-9270,8.1,234,10.3,9.1,1区,医学,胃肠肝病学,SCI SCIE,No,约50%,平均12月,94627,医药科学,https://letpub.com.cn/index.php?journalid=416&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=416&xuanxiangk_id=2#xuanxk_3
439,AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,0195-6108,3.7,162,5.7,6.8,2区,,,,,,,,ISSN补录,https://letpub.com.cn/index.php?journalid=439&page=journalapp&view=detail,
454,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,0193-1849,3.1,182,7.4,7.6,2区,医学,生理学,SCI SCIE,No,较难,约1.0个月,55246,生命科学,https://letpub.com.cn/index.php?journalid=454&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=454&xuanxiangk_id=2#xuanxk_3
490,AMINO ACIDS,AMINO ACIDS,0939-4451,2.4,105,6.8,6.6,3区,生物学,生化与分子生物学,SCI SCIE,No,50%,约2.3个月,83475,生命科学|医药科学|生物信息学|肿瘤学,https://letpub.com.cn/index.php?journalid=490&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=490&xuanxiangk_id=2#xuanxk_3
498,ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,0310-057X,1.2,56,2.3,5.1,4区,医学,麻醉学,SCI SCIE,No,容易,"偏慢,4-8周",27694,医药科学,https://letpub.com.cn/index.php?journalid=498&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=498&xuanxiangk_id=2#xuanxk_3
510,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,ANALOG INTEGR CIRC S,0925-1030,1.4,45,3.9,5.1,4区,工程技术,计算机：硬件,SCI SCIE,No,容易,约6.0个月,54177,信息科学,https://letpub.com.cn/index.php?journalid=510&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=510&xuanxiangk_id=2#xuanxk_3
513,ANALYST,ANALYST,0003-2654,3.3,137,7.0,8.0,3区,化学,分析化学,SCI SCIE,No,约50%,约1.8个月,465210,生命科学,https://letpub.com.cn/index.php?journalid=513&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=513&xuanxiangk_id=2#xuanxk_3
514,Analytica Chimica Acta,ANAL CHIM ACTA,0003-2670,6.0,180,10.4,8.3,2区,化学,分析化学,SCI SCIE,No,75%,约3.1个月,667085,生命科学|医药科学,https://letpub.com.cn/index.php?journalid=514&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=514&xuanxiangk_id=2#xuanxk_3
515,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,ANAL BIOANAL CHEM,1618-2642,3.8,149,7.9,7.5,2区,化学,生化研究方法,SCI SCIE,No,60%,约2.5个月,303038,生命科学|医药科学,https://letpub.com.cn/index.php?journalid=515&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=515&xuanxiangk_id=2#xuanxk_3
519,ANALYTICAL LETTERS,ANAL LETT,0003-2719,1.8,56,3.6,6.5,4区,化学,分析化学,SCI SCIE,No,77%,约2.4个月,156769,生命科学|医药科学|信息科学,https://letpub.com.cn/index.php?journalid=519&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=519&xuanxiangk_id=2#xuanxk_3
520,Analytical Methods,ANAL METHODS-UK,1759-9660,2.7,52,4.5,7.5,3区,化学,分析化学,SCIE,No,95%,约2.0个月,397978,生命科学|医药科学,https://letpub.com.cn/index.php?journalid=520&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=520&xuanxiangk_id=2#xuanxk_3
534,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,1433-7851,17.0,482,27.6,9.5,1区,化学,化学：综合,SCI SCIE,No,28%,约1.7个月,1412127,医药科学|影像医学与生物医学工程,https://letpub.com.cn/index.php?journalid=534&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=534&xuanxiangk_id=2#xuanxk_3
537,ANGLE ORTHODONTIST,ANGLE ORTHOD,0003-3219,3.2,75,6.6,5.0,2区,医学,牙科与口腔外科,SCI SCIE,Yes,容易,约3.0个月,30643,医药科学,https://letpub.com.cn/index.php?journalid=537&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=537&xuanxiangk_id=2#xuanxk_3
538,Animal,ANIMAL,1751-7311,4.2,61,7.8,7.3,1区,农林科学,奶制品与动物科学,SCI SCIE,No,容易,约3.0个月,161845,生命科学,https://letpub.com.cn/index.php?journalid=538&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=538&xuanxiangk_id=2#xuanxk_3
540,ANIMAL BIOLOGY,ANIM BIOL,1570-7555,0.9,30,2.1,4.9,4区,生物学,动物学,SCI SCIE,No,容易,约3.0个月,35277,生命科学,https://letpub.com.cn/index.php?journalid=540&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=540&xuanxiangk_id=2#xuanxk_3
541,ANIMAL BIOTECHNOLOGY,ANIM BIOTECHNOL,1049-5398,1.8,33,4.2,5.5,3区,农林科学,奶制品与动物科学,SCI SCIE,No,容易,>12周，或约稿,62511,生命科学,https://letpub.com.cn/index.php?journalid=541&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=541&xuanxiangk_id=2#xuanxk_3
545,ANIMAL FEED SCIENCE AND TECHNOLOGY,ANIM FEED SCI TECH,0377-8401,2.7,102,6.0,7.5,2区,农林科学,奶制品与动物科学,SCI SCIE,No,约20%,平均6月,103869,生命科学,https://letpub.com.cn/index.php?journalid=545&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=545&xuanxiangk_id=2#xuanxk_3
549,ANIMAL REPRODUCTION SCIENCE,ANIM REPROD SCI,0378-4320,3.3,92,4.3,6.5,2区,农林科学,奶制品与动物科学,SCI SCIE,No,较易,约3.0个月,64046,生命科学,https://letpub.com.cn/index.php?journalid=549&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=549&xuanxiangk_id=2#xuanxk_3
582,ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0003-455X,0.8,49,3.4,5.0,4区,生物学,动物学,SCI SCIE,No,容易,>12周，或约稿,17683,生命科学,https://letpub.com.cn/index.php?journalid=582&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=582&xuanxiangk_id=2#xuanxk_3
594,ANNALS OF BIOMEDICAL ENGINEERING,ANN BIOMED ENG,0090-6964,5.4,116,6.3,6.5,3区,医学,工程：生物医学,SCI SCIE,No,容易,约3.0个月,117628,生物医学工程,https://letpub.com.cn/index.php?journalid=594&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=594&xuanxiangk_id=2#xuanxk_3
619,ANNALS OF MICROBIOLOGY,ANN MICROBIOL,1590-4261,3.4,37,6.6,5.1,3区,生物学,生物工程与应用微生物,SCIE,Yes,容易,约2.3个月,72587,生命科学,https://letpub.com.cn/index.php?journalid=619&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=619&xuanxiangk_id=2#xuanxk_3
638,ANNALS OF SURGERY,ANN SURG,0003-4932,6.5,284,14.4,9.1,1区,医学,外科,SCI SCIE,Hybrid,约5%,平均4月,76668,医药科学,https://letpub.com.cn/index.php?journalid=638&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=638&xuanxiangk_id=2#xuanxk_3
640,Annals of Telecommunications,ANN TELECOMMUN,0003-4347,2.2,33,5.2,5.1,4区,计算机科学,电信学,SCI SCIE,No,容易,约3.0个月,43811,信息科学,https://letpub.com.cn/index.php?journalid=640&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=640&xuanxiangk_id=2#xuanxk_3
10266,ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,ANN ROY COLL SURG,0035-8843,1.7,57,2.1,5.2,4区,,,,,,,,ISSN补录,https://letpub.com.cn/index.php?journalid=10266&page=journalapp&view=detail,
664,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,11.4,194,18.6,9.3,1区,生物学,生态学,SCI SCIE,No,很难,约稿?周期不定,50599,生命科学,https://letpub.com.cn/index.php?journalid=664&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=664&xuanxiangk_id=2#xuanxk_3
699,ANTIVIRAL RESEARCH,ANTIVIR RES,0166-3542,4.0,108,7.3,7.6,2区,医学,药学,SCI SCIE,No,约25%,约3.0个月,103639,医药科学,https://letpub.com.cn/index.php?journalid=699&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=699&xuanxiangk_id=2#xuanxk_3
701,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,ANTON LEEUW INT J G,0003-6072,1.8,98,3.8,5.6,3区,生物学,微生物学,SCI SCIE,No,容易,约3.0个月,62134,生命科学,https://letpub.com.cn/index.php?journalid=701&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=701&xuanxiangk_id=2#xuanxk_3
705,APIDOLOGIE,APIDOLOGIE,0044-8435,2.2,74,4.7,7.1,3区,农林科学,昆虫学,SCI SCIE,No,较易,约3.0个月,25640,生命科学,https://letpub.com.cn/index.php?journalid=705&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=705&xuanxiangk_id=2#xuanxk_3
716,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,APPL ENVIRON MICROB,0099-2240,3.7,293,7.2,8.4,2区,生物学,生物工程与应用微生物,SCI SCIE,No,60%,约1.9个月,424448,生命科学,https://letpub.com.cn/index.php?journalid=716&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=716&xuanxiangk_id=2#xuanxk_3
719,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,APPL BIOCHEM BIOTECH,0273-2289,3.3,97,6.3,6.4,3区,生物学,生物工程与应用微生物,SCI SCIE,No,57%,约6.0个月,162921,生命科学,https://letpub.com.cn/index.php?journalid=719&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=719&xuanxiangk_id=2#xuanxk_3
738,APPLIED MAGNETIC RESONANCE,APPL MAGN RESON,0937-9347,1.1,39,2.2,5.2,4区,物理与天体物理,物理：原子、分子和化学物理,SCI SCIE,No,约80%,约3.0个月,31252,信息科学,https://letpub.com.cn/index.php?journalid=738&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=738&xuanxiangk_id=2#xuanxk_3
8369,Applied Mathematics & Information Sciences,APPL MATH INFORM SCI,1935-0090,0.0,31,2.3,3.9,未录,,,无,No,容易,约3.0个月,30770,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=8369&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=8369&xuanxiangk_id=2#xuanxk_3
740,APPLIED MATHEMATICS AND COMPUTATION,APPL MATH COMPUT,0096-3003,3.4,125,7.9,8.1,2区,数学,应用数学,SCIE,No,60%,约9.8个月,663388,生命科学|计算机科学|神经科学、认知科学与心理学|神经生物学|信息科学,https://letpub.com.cn/index.php?journalid=740&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=740&xuanxiangk_id=2#xuanxk_3
746,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,0175-7598,4.3,198,8.5,7.7,3区,生物学,生物工程与应用微生物,SCI SCIE,No,50%,约2.0个月,493050,生命科学,https://letpub.com.cn/index.php?journalid=746&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=746&xuanxiangk_id=2#xuanxk_3
